,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
475,Челябинск,Smart Apartment Data,не указаны,10 октября 2020," Looking to work at fun and dynamic software company? We’re a growing software company looking for an experienced Angular Frontend Web Developer to help build our next generation of software products. As a winner of the ‘Houston Best &amp; Brightest Companies to Work for ‘, we place strong emphasis on offering a fun work-environment, healthy work-life balance of course, fun and challenging work. Duties: Help create technical direction for the team Solid understanding of ASP.NET or Angular 9+ Extensive experience with web development and best practices Strong understanding of relational database design Requirements: 3+ years experience as a front-end developer. Minimum 2 years with Angular 6+ Strong understanding of HTML/CSS/JS Some experience with back-end development is a plus but not required Terms: 100% Remote with flexible work hours Competitive base salary with guaranteed annual bonus Work with Senior Developers using the latest web technologies ",не указано,1–3 года,Remote Senior Frontend Developer (Angular),,92142.9,62678.6,полный день,"Английский — C1 — Продвинутый,JavaScript,AngularJS,HTML,CSS,ASP.NET,Английский язык",Полная занятость,https://tyumen.hh.ru/vacancy/39737003,19
478,Челябинск,Napoleon IT,"Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело;,Бесплатные профессиональные курсы, доступные всем сотрудникам офиса;,100% компенсацию приобретения профессиональной литературы;,Официальное трудоустройство, гибкий режим рабочего времени;,Уровень заработной платы обсуждаем с финальным кандидатом (достойный).",6 октября 2020," Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Наши решения в области бизнес-аналитики, предиктивной аналитики, компьютерного зрения, высоконагруженных систем и мобильной разработки дают конкурентное преимущество и гарантируют устойчивое развитие бизнеса клиентов. У нас много интересных задач, дружеская атмосфера и отличные условия! Обязанности: Разработка бэкэнда на Go; Разработка нового и совершенствование существующего функционала; Разработка структуры базы данных и новых элементов; Анализ запросов к базе данных и повышение их производительности; Разработка API сервисов. Требования: Опыт разработки на Go от 1.5 лет; Опыт работы с PostgreSQL; Использование Git в качестве системы контроля версий; Писать красивый, поддерживаемый и масштабируемый код; Следовать архитектурным паттернам и методологиям, совместно выбранным командой; Английский язык на уровне от Upper- Intermediate (свободный разговорный) Желательно: Контейнеризация (docker); Опыт работы со спецификацией OpenAPI Опыт создания сложных и высоконагруженных систем. Условия: Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело; Бесплатные профессиональные курсы, доступные всем сотрудникам офиса; 100% компенсацию приобретения профессиональной литературы; Официальное трудоустройство, гибкий режим рабочего времени; Уровень заработной платы обсуждаем с финальным кандидатом (достойный). ","Разработка бэкэнда на Go;,Разработка нового и совершенствование существующего функционала;,Разработка структуры базы данных и новых элементов;,Анализ запросов к базе данных и повышение их производительности;,Разработка API сервисов.",1–3 года,Middle Backend developer Golang,"Опыт разработки на Go от 1.5 лет;,Опыт работы с PostgreSQL;,Использование Git в качестве системы контроля версий;,Писать красивый, поддерживаемый и масштабируемый код;,Следовать архитектурным паттернам и методологиям, совместно выбранным командой;,Английский язык на уровне от Upper- Intermediate (свободный разговорный)",92142.9,62678.6,удаленная работа,"Английский — C1 — Продвинутый,golang",Полная занятость,https://tyumen.hh.ru/vacancy/39654799,23
485,Магнитогорск,Bell Integrator,не указаны,13 октября 2020," Присоединяйтесь к нашей команде и постройте успешную карьеру в международной технологической компании! Bell Integrator – международная компания, предоставляющая традиционные технологические услуги и инновационные сервисы. С 2003 года мы предоставляем клиентам широкий спектр сервисов и решений в области инновационных технологий. Требования: Участие в проектах разработки и внедрения IT-систем в качестве фронт-энд разработчика от 2 лет Опыт разработки на Angular/JavaScript от 2х лет Опыт работы в команде Желательно: Хорошее знание TypeScript, опыт работы в банковской сфере Обязанности: Разработка по постановкам Обучение более младших разработчиков Мы гарантируем: Конкурентоспособную заработную плату Корпоративное обучение и сертификацию в технических и бизнес областях Корпоративные развлекательные программы Работа в комфортном офисе м. Кутузовская / офисе Белл Интегратора (Саратов, Уфа, Пенза, Нижний Новгород) / удаленно ","Разработка по постановкам,Обучение более младших разработчиков",1–3 года,Разработчик AngularJS / Front-End AngularJS,"Участие в проектах разработки и внедрения IT-систем в качестве фронт-энд разработчика от 2 лет,Опыт разработки на Angular/JavaScript от 2х лет,Опыт работы в команде",61250.0,39166.7,полный день,"JavaScript,AngularJS,Работа в команде",Полная занятость,https://tyumen.hh.ru/vacancy/39802765,16
504,Челябинск,Прикладные технологии,"Оклад обсуждается индивидуально.,Официальное трудоустройство, социальный пакет по ТК.,Гибкий график работы после испытательного срока.,Курсы английского языка.,Современный офис (комнаты для совещаний, настольный футбол, теннис, зерновой кофе, молоко, печенье).,Внутрикорпоративные инструменты для совместной работы и коммуникаций.,Всегда современные технические средства (ноутбуки, системники, мониторы).",13 октября 2020," Ищем опытного JavaScript разработчика для участия в различных проектах нашей компании (как новых, так и имеющихся). В ходе работы будет возможность столкнуться с интересными и сложными задачами, современными технологиями и процессами, увидеть своими глазами как делаются проекты мирового класса, пообщаться как с российскими так и зарубежными профессионалами и повысить свою квалификацию. Мы настроены на долгое и плодотворное сотрудничество. Требования к кандидатам: Хорошее знание JavaScript (ES6), HTML, CSS. Опыт Front-end разработки на JavaScript от 3 лет. Знание и понимание ООП, паттернов проектирования. Опыт работы хотя бы с одним из популярных JS-фреймворков (Vue, React, Angular), а также умение обходиться без них. Желание изучать и использовать новые технологии в процессе разработки ПО. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Будет плюсом: Опыт работы с UI/UX дизайнерами и способность превращения мокапов в работающее клиентское приложение. Опыт разработки мобильных версий Web-приложений. Опыт работы в команде. Разговорный английский язык. Обязанности: Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов. Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете. Условия: Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (комнаты для совещаний, настольный футбол, теннис, зерновой кофе, молоко, печенье). Внутрикорпоративные инструменты для совместной работы и коммуникаций. Всегда современные технические средства (ноутбуки, системники, мониторы). О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения. ",Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.,3–6 лет,Разработчик Front-end/JavaScript (Middle),"Хорошее знание JavaScript (ES6), HTML, CSS.,Опыт Front-end разработки на JavaScript от 3 лет.,Знание и понимание ООП, паттернов проектирования.,Опыт работы хотя бы с одним из популярных JS-фреймворков (Vue, React, Angular), а также умение обходиться без них.,Желание изучать и использовать новые технологии в процессе разработки ПО.,Знание английского языка на уровне, достаточном для ведения рабочей переписки.",92142.9,90000.0,полный день,"HTML,CSS,JavaScript,Angular,React,Vue,Agile Project Management",Полная занятость,https://tyumen.hh.ru/vacancy/39145709,16
513,Челябинск,Флексайтс,не указаны,8 октября 2020," Требования: Знание PHP Знание Bitrix Framework (БУС и Битрикс24), в частности D7 и ORM Знание WordPress Знание SQL и основ построения баз данных Понимание принципов ООП и умение применять их Умение разрабатывать и использовать REST API Умение работать с Git Опыт работы с Linux Желание учиться новому и не бояться трудностей. Условия: Работа с 9-00 утра до 18-00 (или до выполнения). На период стажировки и обучения - оклад по договорённости. В дальнейшем - сдельная зарплата (в среднем от 30000 до 80000). Уютный офис, дружный творческий коллектив. Чай, кофе за счет заведения. О компании: Компания ""Флексайтс"" на рынке с 2002 года, занимаемся разработкой, продвижением и сопровождение сайтов. В портфолио сложные тендерные площадки (Равис, СоюзПищеПром и др.), серьезные интернет-проекты (УралПромБанк, Фианит-Ломбард и др.) Ищите наш сайт в интернете. Заходите, анализируйте, насколько мы с вами друг другу подходим. Почувствуете, что ""это моё"" - пишите, звоните, не стесняйтесь! Будем рады знакомству в любом случае. ",не указано,1–3 года,"Веб-программист - MIDDLE - со знанием php (Битрикс, WordPress)",,80000.0,30000.0,полный день,"Git,Linux,CMS Wordpress,ООП,PHP,1С-Битрикс",Полная занятость,https://tyumen.hh.ru/vacancy/39699239,21
519,Магнитогорск,Uralmedias,"профессиональное обучение;,официальное оформление;,з/п обсуждается на собеседовании;,график работы 5/2, (9:00-18:00);,офис компании находится на ул. Завенягина 1/2",12 октября 2020," Uralmedias - это креативное digital-агентство полного цикла, занимающееся разработкой фирменных сайтов, брендингом, развитием и продвижением проектов в digital-пространст Требования: Опыт Backend-разработки на PHP - 3 года Обязательный опыт работы с: php7, mysql, git, composer Знание и применение MVC Опыт работы с php фреймворками: Laravel, Symfony, Yii Опыт работы с 1с-Bitrix, CMS Modx, OctoberCMS Продвинутые знания HTML5, CSS3, JavaScript Опыт написания REST api Умение грамотно излагать мысли - письменно и устно Условия: профессиональное обучение; официальное оформление; з/п обсуждается на собеседовании; график работы 5/2, (9:00-18:00); офис компании находится на ул. Завенягина 1/2 ",не указано,1–3 года,PHP Developer/Веб-программист Middle,"Опыт Backend-разработки на PHP - 3 года,Обязательный опыт работы с: php7, mysql, git, composer,Знание и применение MVC,Опыт работы с php фреймворками: Laravel, Symfony, Yii,Опыт работы с 1с-Bitrix, CMS Modx, OctoberCMS,Продвинутые знания HTML5, CSS3, JavaScript,Опыт написания REST api,Умение грамотно излагать мысли - письменно и устно",50000.0,35000.0,полный день,"MySQL,ООП,MVC,JavaScript,Ajax",Полная занятость,https://tyumen.hh.ru/vacancy/39756226,17
532,Челябинск,Bell Integrator,не указаны,13 октября 2020," Присоединяйтесь к нашей команде и постройте успешную карьеру в международной технологической компании! Bell Integrator – международная компания, предоставляющая традиционные технологические услуги и инновационные сервисы. С 2003 года мы предоставляем клиентам широкий спектр сервисов и решений в области инновационных технологий. Требования: Участие в проектах разработки и внедрения IT-систем в качестве фронт-энд разработчика от 2 лет Опыт разработки на Angular/JavaScript от 2х лет Опыт работы в команде Желательно: Хорошее знание TypeScript, опыт работы в банковской сфере Обязанности: Разработка по постановкам Обучение более младших разработчиков Мы гарантируем: Конкурентоспособную заработную плату Корпоративное обучение и сертификацию в технических и бизнес областях Корпоративные развлекательные программы Работа в комфортном офисе м. Кутузовская / офисе Белл Интегратора (Саратов, Уфа, Пенза, Нижний Новгород) / удаленно ",не указано,1–3 года,Разработчик AngularJS / Front-End AngularJS,"Участие в проектах разработки и внедрения IT-систем в качестве фронт-энд разработчика от 2 лет,Опыт разработки на Angular/JavaScript от 2х лет,Опыт работы в команде, , ,Хорошее знание TypeScript, опыт работы в банковской сфере, , ,Разработка по постановкам,Обучение более младших разработчиков, , , , , , , , , , ",92142.9,62678.6,полный день,"JavaScript,AngularJS,Управление качеством,Пользователь ПК,Работа в команде",Полная занятость,https://tyumen.hh.ru/vacancy/39802738,16
535,Челябинск,Уралпромтех,не указаны,13 октября 2020," Открыт конкурс на вакансию fullstack-разработчик. Наша Компания разработала и поддерживает 2 большие информационные системы: банковское ПО (Уралпромбанк, а также смежные бизнес-проекты) + большая спортивная CRM хоккейных клубов ""Трактор"" (Челябинск) и ""Югра"" (Ханты-Мансийск). На выходе в прод третья информационная система. Все информационные системы имеют клиентские web-приложения. В команду нужен еще один fullstack-дракон-в-пальто. Обязанности: - Доработка и поддержка сайтов различной сложности. - Проектирование, разработка, тестирование и внедрение новых сервисов. - Интеграция со сторонними сервисами. Навыки: - HTML, C#, Javascript, React+Redux - SQL (SELECT, INSERT, UPDATE, DELETE, JOIN) - Даже если в чём-то не разбираетесь - есть возможность познать это в ходе ознакомления/решения. Будет плюсом: Знания - ASP.NET Web Forms, - ASP.NET MVC, - .NET Core, - CSS (адаптивная верстка), - базовые знание GIT (commit, fetch, pull, push, merge), - понимание технологии REST API и опыт работы с XML, JSON. Соблюдение сроков по задачам. Отлично, если есть сертификаты, но не принципиально. Условия: График работы 5/2, время начала рабочего дня обсуждаем. Теннисный стол, турник, эллипсоид. Кухня с холодильником, кофемашиной и микроволновкой. Звоните, пишите, присылайте резюме, будем обсуждать и договариваться! Пусть каждому из вас повезет! ",не указано,1–3 года,Fullstack-разработчик,,92142.9,60000.0,полный день,"C#,CSS,JS,React JS,HTML",Полная занятость,https://tyumen.hh.ru/vacancy/39446318,16
543,Челябинск,КРОК,не указаны,22 сентября 2020," Что мы делаем: Погружаемся в каждый проект, решаем реальные проблемы заказчиков и конечных пользователей. Созданные нами системы сложные и масштабируемые, а готовые решения – полезны и понятны пользователям. Разрабатываем новый и дорабатываем существующий функционал медицинских информационных систем на базе оригинального фреймворка системы; Дорабатываем интеграционные сервисы для объединения региональных медицинских информационных систем. В нашей команде есть здоровая атмосфера и нет иерархии. Мы – равные партнеры, помогающие друг другу. Новичка обучают и координируют, всячески способствуя его качественному развитию. Каким мы видим тебя: Хорошо знаком с используемым стеком технологий: HTML/CSS/JavaScript/SQL/Oracle PLSQL/Git/PhpStorm IDE/Oracle PLSQL Developer (+ приветствуется PHP для разработки интеграций). На «ты» с JavaScript (в т.ч. работа с DOM), HTML, CSS3. Владеешь хотя бы одним современным фронтенд-фреймворком. Умеешь работать с реляционными СУБД; Умеешь разбираться в чужом коде. Умеешь работать на результат. Умеешь работать в команде. Желаешь развиваться. В качестве дополнительных преимуществ – отлично, если ты: Знаешь PL/SQL или PL/pgSQL. Знаешь SOAP, REST. Имеешь опыт работы в качестве фуллстек-разработчика с использованием PHP или node.js. Разбираешься в дизайне пользовательского интерфейса; Руководил даже небольшой командой разработки. Что ты будешь делать: Создавать удобные и красивые пользовательские интерфейсы; Работать с крупными заказчиками и создавать большие системы; Взаимодействовать с прочими членами команды для выработки наилучшего решения задачи. Что ты получаешь: Достойную зарплату. На собеседовании мы детальнее познакомимся с тобой, твоими навыками, и открыто обсудим вопрос зарплаты с премиальной частью. Максимальный комфорт. Тебя ждет удобное рабочее место с мощным железом, современный офис в центре города, чай/кофе и даже обеды. Возможность профессионального роста и развития. Корпоративные мероприятия, компенсация спорта, молодой коллектив, дружелюбная рабочая атмосфера. Отличную команду, в которой ценят вклад каждого. ",не указано,1–3 года,Fullstack-разработчик,,92142.9,62678.6,полный день,"JavaScript,Git,Oracle Pl/SQL,Node.js,CSS",Полная занятость,https://tyumen.hh.ru/vacancy/38795911,37
546,Челябинск,Napoleon IT,"Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело;,Бесплатные профессиональные курсы, доступные всем сотрудникам офиса;,100% компенсацию приобретения профессиональной литературы.,Официальное трудоустройство, гибкий режим рабочего времени.",14 октября 2020," Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Наши решения в области бизнес-аналитики, предиктивной аналитики, компьютерного зрения, высоконагруженных систем и мобильной разработки дают конкурентное преимущество и гарантируют устойчивое развитие бизнеса клиентов. У нас много интересных задач, дружеская атмосфера и отличные условия! Обязанности: Разработка, поддержка и развитие клиентской части крупных web-приложений; Доработка существующего кода, поддержка чужого кода; Участие в разработке высоконагруженных проектов, работа в команде; Анализ требований, составление плана работ и реалистичные оценки по предоставляемым задачам; Участие в обсуждении процессов разработки, освоение новых технологий в сжатые сроки; Документирование кода, работа с существующей проектной документацией. Требования: Отличные навыки работы с HTML, CSS, JavaScript (ES6+); Навыки и опыт работы с реактивными фреймворками на JS (ReactJS, VueJS); Навыки работы с CSS препроцессорами (Less, Stylus, SASS, SCSS); Навыки работы с постпроцессорами HTML (PUG, Blade, etc); Опыт и навык работы со сборщиками (Webpack, Rollup, Gulp); Опыт написания тестов на фронте (Jest, chai, mocha, etc.); Базовые навыки работы с docker, gitlabCI (CI не обязательно, но было бы плюсом); Хороший опыт работы с взаимодействием с сервером, знание RESTful API или GraphQL; Опыт работы с TypeScript (не обязательно, но было бы плюсом) или опыт использования других ООП языков программирования (C#, Java, etc.); Знание и понимание функционального программирования в JS (замыкания, лямбда-исчисление, функции высшего порядка, каррирование) не обязательно, но было бы плюсом. Условия: Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело; Бесплатные профессиональные курсы, доступные всем сотрудникам офиса; 100% компенсацию приобретения профессиональной литературы. Официальное трудоустройство, гибкий режим рабочего времени. Рассматриваем вариант удаленного сотрудничества в формате full time. ","Разработка, поддержка и развитие клиентской части крупных web-приложений;,Доработка существующего кода, поддержка чужого кода;,Участие в разработке высоконагруженных проектов, работа в команде;,Анализ требований, составление плана работ и реалистичные оценки по предоставляемым задачам;,Участие в обсуждении процессов разработки, освоение новых технологий в сжатые сроки;,Документирование кода, работа с существующей проектной документацией.",1–3 года,Middle frontend developer,"Отличные навыки работы с HTML, CSS, JavaScript (ES6+);,Навыки и опыт работы с реактивными фреймворками на JS (ReactJS, VueJS);,Навыки работы с CSS препроцессорами (Less, Stylus, SASS, SCSS);,Навыки работы с постпроцессорами HTML (PUG, Blade, etc);,Опыт и навык работы со сборщиками (Webpack, Rollup, Gulp);,Опыт написания тестов на фронте (Jest, chai, mocha, etc.);,Базовые навыки работы с docker, gitlabCI (CI не обязательно, но было бы плюсом);,Хороший опыт работы с взаимодействием с сервером, знание RESTful API или GraphQL;, , , , ",92142.9,62678.6,удаленная работа,"HTML,CSS,JavaScript,React",Полная занятость,https://tyumen.hh.ru/vacancy/37171253,15
553,Челябинск,Компания maxim,не указаны,9 октября 2020," Кто мы: IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, такие как сервис заказа такси «Максим». Мы — команда вне географического фактора, части которой эффективно взаимодействуют из разных точек мира. У нас 5 it-подразделений в городах РФ и 4 подразделения за рубежом. 250+ сотрудников и два десятка направлений работы в сфере IT. Чем предстоит заниматься: Разрабатывать web-приложения на Vue/TypeScript. Что ожидаем от кандидата: опыт работы с typescript, круто если есть опыт использования typeScript во Vue компонентах; знание Vue.js; умение и желание работать в команде. Будет плюсом: написание unit тестов (mocha, chai, vue test-utils); опыт работы с системами сборки фронтенда – Gulp, Webpack. Мы предлагаем: множество интересных задач; дружелюбный коллектив; корпоративное обучение; поездки на it-конференции; комфортное рабочее место; компенсацию питания; ДМС; бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете); оформление по ТК РФ; есть программа релокации. ",не указано,1–3 года,Front-end разработчик,,100000.0,50000.0,полный день,"typescript,Vue.js",Полная занятость,https://tyumen.hh.ru/vacancy/36532150,20
555,Челябинск,Цифровой элемент,"Официальное трудоустройство, соц. пакет по ТК РФ (оплачиваемый отпуск, больничный и т.п.) в случае необходимости.,Стабильная высокая заработная плата.,Внутрикорпоративные семинары и тренинги. Профессиональный и личностный рост.,Молодой, дружный и профессиональный коллектив.,Офис в центре города Челябинска рядом с парком. Кофе, чай, печенки.,: , ",28 сентября 2020," Компания Цифровой Элемент – ведущее интернет-агентство Челябинска. Мы входим в ТОП 20 компаний России и с каждым днем стремимся стать лучше. Мы специализируемся на разработке и поддержке интернет-проектов любого уровня сложности, включая highload и gamedev . Свои проекты нам доверяют как крупные компании, так и небольшие фирмы со всей России. О нас: Нам 10 лет. В Челябинске работает более 50 сотрудников. Мы работаем с известными брендами и крупнейшим бизнесом: ПАО «Газпром», ОАО «РЖД», ПАО Банк «ФК Открытие», «РОСАТОМ», «РОСНЕФТЬ», РАО ЕЭС, ПАО «Фортум», ХК «Трактор», «Оптик-Центр», Сеть аптек «Рифарм», Сеть аптека «Классика» и с многими другими известными компаниями города и страны. Обязанности: Верстка макетов дизайна (кроссбраузерная, адаптивная, мобильная). Верстка под мобильные браузеры и retina-дисплеи. Front-end анимация. Обеспечение соответствия качества html-верстки, предъявляемым внутрикорпоративным требованиям. Поиск причин ошибок на сайтах и их устранение. Front-end разработка. Требования: БЭМ. Работа с task-менеджерами (gulp, webpack и т.п.). Препроцессоры, постпроцессоры (postcss, sass, autoprefixer, ejs). Flexbox. Умение верстать простые компоненты без использования плагинов (например, стилизация чекбоксов). SVG-спрайты для иконок, знание SVG. Уметь делать адаптивную верстку (без отрисованных макетов). Кроссбраузерность (IE 11, Edge, Chrome, Firefox, Safari, мобильные браузеры). Работа с GIT. Работа в Figma. Работа в Битрикс24, подсчет затраченного времени на проект. Умение работать с Lottie будет преимуществом. Умение разбираться в верстке, написанной другими. Хорошая обучаемость и желание развиваться. Условия: Официальное трудоустройство, соц. пакет по ТК РФ (оплачиваемый отпуск, больничный и т.п.) в случае необходимости. Стабильная высокая заработная плата. Внутрикорпоративные семинары и тренинги. Профессиональный и личностный рост. Молодой, дружный и профессиональный коллектив. Офис в центре города Челябинска рядом с парком. Кофе, чай, печенки. Работа возможна : в офисе компании в Челябинске, на постоянной удаленной основе, на удаленной основе по проектно. Выполнение тестового задания ( по запросу ) - обязательно . Предоставление ссылки на свой репозиторий ( по запросу ) - обязательно . Работа на удаленной основе согласно нашим корпоративным стандартам с использованием Git в Битрикс24. ","Верстка макетов дизайна (кроссбраузерная, адаптивная, мобильная).,Верстка под мобильные браузеры и retina-дисплеи.,Front-end анимация.,Обеспечение соответствия качества html-верстки, предъявляемым внутрикорпоративным требованиям.,Поиск причин ошибок на сайтах и их устранение.,Front-end разработка.",1–3 года,Frontend разработчик (middle/senior),"БЭМ.,Работа с task-менеджерами (gulp, webpack и т.п.).,Препроцессоры, постпроцессоры (postcss, sass, autoprefixer, ejs).,Flexbox.,Умение верстать простые компоненты без использования плагинов (например, стилизация чекбоксов).,SVG-спрайты для иконок, знание SVG.,Уметь делать адаптивную верстку (без отрисованных макетов).,Кроссбраузерность (IE 11, Edge, Chrome, Firefox, Safari, мобильные браузеры).,Работа с GIT.,Работа в Figma.,Работа в Битрикс24, подсчет затраченного времени на проект.,Умение работать с Lottie будет преимуществом.,Умение разбираться в верстке, написанной другими.,Хорошая обучаемость и желание развиваться.",92142.9,45000.0,полный день,"Английский — A1 — Начальный,Sass,Git,jQuery,HTML5,Кроссбраузерная верстка,HTML,CSS,JavaScript,CSS3,Less,1С-Битрикс,Адаптивная верстка,БЭМ,Gulp,Webpack,Битрикс24,Ajax",Полная занятость,https://tyumen.hh.ru/vacancy/39486697,31
565,Челябинск,ИнтерСервис ЛТД,"Работа в офисе, приятный молодой коллектив, адекватное руководство, помощь и поддержка коллег;,Рабочее место по адресу ул. Артиллерийская, 124 (район ТРК ""Горки"");,График 5/2 с 9-00 до 18-00 (сб, вс - выходные);,Официальное трудоустройство, все гарантии по ТК РФ;,Форма оплаты оклад. По результатам проекта выплачивается премия в зависимости от результатов;,Скидки сотрудникам на товары компании.",15 октября 2020," Мы работаем совместно со студией разработки JetStyle (Екатеринбург), соответственно вам будут доступны все их самые продвинутые разработчики и возможность участвовать в разработке большого проекта с большой студией. Для разработки и поддержки проекта нам нужен программист во внутреннюю команду. При необходимости окажем помощь и поддержку для быстрого входа в проект. Большая часть задач предстоит по фронтенду, но и для бэкенда есть достаточно задач. В идеале для нас кандидат full-stack разработчик с большим опытом. Также рассмотрим разработчиков с опытом фронтенда и минимальными знаниям бэка. Нужны следующие знания и навыки: · Не менее 3 лет опыта работы веб - разработчиком в проектах разработки интернет-магазинов; · Опыт работы c Python, HTML, CSS, JavaScript. · Опыт разработки и администрирования СУБД · Понимание и использование принципов ООП. · Четкое представление о том, как работают Unix, веб-сервера Apache и nGinx, Postgres. · Опыт участия в больших высоконагруженных интернет-проектах в качестве разработчика приветствуется. · Умение оценивать трудоемкость задач и укладываться в оговоренные сроки. Используемые инструменты для работы: Back: фреймворк django, проект собирается в docker, шаблонизатор Jinja; Front: vue js, gulp, redis Обязанности: · Разработка и поддержка нового интернет магазина на стеке указанных технологий в команде проекта разработки; · Работа с интересными крупными проектами с достаточно высокой нагрузкой и интересными решениями; · Интеграции с различными системами и сервисами. Условия: Работа в офисе, приятный молодой коллектив, адекватное руководство, помощь и поддержка коллег; Рабочее место по адресу ул. Артиллерийская, 124 (район ТРК ""Горки""); График 5/2 с 9-00 до 18-00 (сб, вс - выходные); Официальное трудоустройство, все гарантии по ТК РФ; Форма оплаты оклад. По результатам проекта выплачивается премия в зависимости от результатов; Скидки сотрудникам на товары компании. ООО ""ИнтерСервис ЛТД"" это сеть книжных магазинов: ""Книгалэнд"", ""Книжный город"", а также оптовые продажи: канцелярия, учебная, художественная литература. На рынке более 22 лет. ООО ""ИнтерСервис ЛТД"" является лидером книжной торговли Уральского региона. По итогам рейтинга журнала ""Книжный бизнес"" компания отмечена в числе крупнейших книготорговых предприятий России. Наша работа отмечена многочисленными дипломами, в том числе и Благодарностью Государственной Думы России. ","Работа в офисе, приятный молодой коллектив, адекватное руководство, помощь и поддержка коллег;,Рабочее место по адресу ул. Артиллерийская, 124 (район ТРК ""Горки"");,График 5/2 с 9-00 до 18-00 (сб, вс - выходные);,Официальное трудоустройство, все гарантии по ТК РФ;,Форма оплаты оклад. По результатам проекта выплачивается премия в зависимости от результатов;,Скидки сотрудникам на товары компании.",3–6 лет,Web-программист,,92142.9,70000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39542147,14
